Concepts,Text,Refrences,def,Keywords,Synonyms,Predicate,Object
plan risk management,"plan risk management is the process of deﬁning how to conduct risk management activities for a project. the key beneﬁt of this process is that it ensures that the degree, type, and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders. this process is performed once or at predeﬁned points in the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-2. figure 11-3 depicts the data ﬂow diagram for the process.figure 11-2. plan risk management: inputs, tools & techniques, and outputstools & techniquesinputsoutputsplan risk management.1 expert judgment.2 data analysis• stakeholder analysis.3 meetings.1 project charter.2 project management plan• all components.3 project documents• stakeholder register.4 enterprise environmental   factors.5 organizational process assets.1 risk management plan • project   charter11.1 plan riskmanagemententerprise/organization4.1develop projectcharter• project charterproject documents• stakeholder register• enterprise environmental factors• organizational process assetsproject managementplanproject management plan• all componentsprojectmanagementplanprojectdocuments• risk management planfigure 11-3. plan risk management: data flow diagramthe plan risk management process should begin when a project is conceived and should be completed early in the project. it may be necessary to revisit this process later in the project life cycle, for example at a major phase change, or if the project scope changes signiﬁcantly, or if a subsequent review of risk management effectiveness determines that the project risk management process requires modiﬁcation.",captures/page_8_image_1.png ,"The purpose of this risk management process is to ensure that the degree and type of risk associated with a project are proportionately to both risks, and the importance for the project to other stakeholders. This process may be required to be revisited later in the life cycle or at a significant change in the scope of the project.","['project risk management process', 'plan components', '112 plan risk', 'charter project', 'management proportionate', 'process performed predeﬁned points', 'expert judgment data analysis', 'scope changes', 'changes signiﬁcantly subsequent review', 'environmental factors', 'register enterprise', 'meetings', 'assets', 'flow diagram', 'visibility risk', 'inputs tools techniques', '41 develop', 'modiﬁcation', 'cycle example major phase', 'conduct', 'ensures degree type', 'major', 'completed', '113 depicts data', 'early']","['The PLAN RISK MANAGEMENT is a critical component of the risk management process.', 'Plan and Risk Management (PLAN) is a crucial component of risk management.', 'Planning, risk management, and planning involves a range of problems.', 'PLAN RISK MANAGEMENT With the help of Risk Management, it is important to consider risk and complexity in order to optimize project outcomes.', 'Planning, risk management and decision making are the primary concerns in planning for crisis situations.']",studies,risks
project charter,"described in section 4.1.3.1. the project charter documents the high-level project description and boundaries, high-level requirements, and risks.", sections/4.1.3.1_page117.png,"This section describes the project charter. It identifies the high- level project description and limits, high-level requirements, and risk.",['project charter documents highlevel'],"['The PROJECT CHARTER is the most recent project, and it has been created using only its current trajectory.', 'PROJECT CHARTER: THIS PROGRAMMING ARTICLE IS FOR CAST IN PRODUCTION.', 'Project CHARTER: PROJECT VERBAL STRUCTURES.', 'CHARACTERISTICS PROJECT BOOKS: A GOOD PROBLIOTICAL RELATION CAST FOR A PROGRAMMING POLICY?', 'A PROJECT CHARTER WITH SUBSCRIPT OR GATE COURSE INFORMATION?']",has part,project team
project management plan,"described in section 4.2.3.1. in planning project risk management, all approved subsidiary management plans should be taken into consideration in order to make the risk management plan consistent with them. the methodology outlined in other project management plan components might inﬂuence the plan risk management process.", sections/4.2.3.1_page122.png,"In planning project risk management, the risk management plans must be considered in order to ensure that the project is not subject to change.","['planning project risk management', 'approved subsidiary', 'consistent methodology outlined', '4231']","['The PROJECT MANAGEMENT PLAN is designed to manage projects of different sizes and types.', 'Proposed Project Management PLAN as a PROJECT MANAGEMENT PUNCH.', 'Project Management PLAN for PROJECT MANAGEMENT PLOT.', 'PROJECT MANAGEMENT PLAN FOR PROBABILITY and PROBLEM PRACTICE.', 'A PROJECT MANAGEMENT PLAN THAT CANNOT BE FORCEED IN THE PROGRAMME OF PROBABILITY?']",facet of,project risk
project documents,"project documents that can be considered as inputs for this process include but are not limited to the stakeholder register as described in section 13.1.3.1. the stakeholder register contains details of the project’s stakeholders and provides an overview of their project roles and their attitude toward risk on this project. this is useful in determining roles and responsibilities for managing risk on the project, as well as setting risk thresholds for the project.", sections/13.1.3.1_page550.png,"This chapter describes the stakeholder registry, which is used to collect information about the project's stakeholders and to set risk thresholds.","['projects stakeholders provides overview', 'documents considered inputs process', 'setting risk thresholds', 'described section 13131', 'register', 'include', 'attitude']","['The project documents are part of the Project Documents.', 'PROJECT DOCUMENTS FROM PRO JOURNAL INTERVIEW WORKS ONLINE.', 'Project DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJETS.', 'DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJECUTION BY PROBLIMATIONALE.', 'Project DOCUMENTS FOR PROJECT DATA.']",has part,project team
enterprise environmental factors,the enterprise environmental factors that can inﬂuence the plan risk management process include but are not limited to overall risk thresholds set by the organization or key stakeholders., ,"The enterprise ""electrified factors"" that can influence plan risk management are not limited by overall risk threshold set by an organization or key stakeholders.","['plan risk management process', 'factors inﬂuence']","['Enterprising enterprise environmental factors such as soil, water, and soil quality are the driving forces behind ENTERPRISE ENTREPRENELED ENVIRONMENTAL FACTORS.', 'ENTIREPRISE ENVIRONMENTAL FACTORS WHO RELATE ENTERPRISING WITH US AND DEVELOPING IN IT.', 'ENTERPRISE ENVIRONMENTAL FACTORS OF ENINTERPRISING ENJOYMENTALS.', 'ENTERPRISE Environmental Environmental Factors are responsible for promoting environmental conservation through enterprise and entrepreneurial activities.', 'ENTERPRISE ENTREPANEOUS ENVIRONMENTAL FACTORS OF THE ENINTERPRISING ENJOYMENTALS.']",subclass of,project management information system
organizational process assets,"the organizational process assets that can inﬂuence the plan risk management process include but are not limited to: organizational risk policy; risk categories, possibly organized into a risk breakdown structure; common deﬁnitions of risk concepts and terms; risk statement formats; templates for the risk management plan, risk register, and risk report; roles and responsibilities; authority levels for decision making; and lessons learned repository from previous similar projects. ", ,"This paper focuses on the elements of an organization's risk management process. It discusses the roles and responsibilities that are involved in establishing a risk management program, as well as lessons learned from previous similar project activities.","['risk management process include', 'assets', 'authority levels', 'breakdown structure common', 'statement formats', 'similar']","['The ORGANIZATIONAL PROCESS ASSETS ARE THERE.', 'ORGANIZATIONAL PROCESS ASSETS AND ORGANIC PRODUCTION ALERT PROSE SUBMISSION.', 'Occupational PROCESS ASSETS ORGANIZATIONAL PRODUCTION AND ORGANICITY PROSECT ASSISTANTS.', 'ORGANIZATIONAL PROCESS RESISTENTS AND OR GENERAL PRODUCTION SOFTSETS.', 'OrgANIZEAL PROCESS ASSETS AND ORGANIZATIONALPROCEDIAL processes.']",part of,organizational process
expert judgment,"described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge or training in the following topics: familiarity with the organization’s approach to managing risk, including enterprise risk management where this is performed; tailoring risk management to the speciﬁc needs of a project; and types of risk that are likely to be encountered on projects in the same area.", sections/4.1.2.1_page115.png,This chapter discusses the roles that knowledge plays in a company's ability to manage risk.,"['tailoring risk management speciﬁc', 'likely encountered projects area', 'topics familiarity', 'considered individuals groups', 'specialized', '4121']","['The EXPERT JUDGMENT is an example of E RADICAL JUGUGUST.', 'PERT JUDGMENT EXPERTS JUDICTION.', 'EXPERT JUDGMENT EFFECTUAL JUGUGMENT – EARNER JUCGEMENT BY CONFORDENCE AND GENERAL JUSTICE, AFGUSTMENT JUAGS MODERN JUJARS POLISH.', 'EXPERT JUDGMENT – EFFECT JUAGS (ETJ) FUNDER JUGUG 1927-ExpETERED JUST GUARANTEES.', 'In the EXPERT JUDGMENT, E if any ExPERP JODGment is an Element JUGMENT?']",subclass of,knowledge
data analysis,data analysis techniques that can be used for this process includes but are not limited to a stakeholder analysis (section 13.1.2.3) to determine the risk appetite of project stakeholders., sections/13.1.2.3_page548.png,This paper outlines the various approaches that can be taken to analyze and interpret the project's risk.,"['limited stakeholder analysis section', 'appetite']","['DATA ANALYSIS AND INTEGRATION FOR IDENTIFICATIONS.', 'ANALYSIS OF DATA FOR MODULING INTELLUENT MISAILABILITY.', 'Data ANALYSIS AND DATA INTEGRATION FOR INTELLECTUAL RESULTS.', 'The data analysis process is focused on providing insights into DATA analytics.', 'Data analysis, DATA analytics and BIG data.']",subclass of,data analysis
meetings,"the risk management plan may be developed as part of the project kick-off meeting or a speciﬁc planning meeting may be held. attendees may include the project manager, selected project team members, key stakeholders, or team members who are responsible to manage the risk management process on the project. others outside the organization may also be invited, as needed, including customers, sellers, and regulators. a skilled facilitator can help participants remain focused on the task, agree on key aspects of the risk approach, identify and overcome sources of bias, and resolve any disagreements that may arise.plans for conducting risk management activities are deﬁned in these meetings and documented in the risk management plan (see section 11.1.3.1).", sections/11.1.3.1_page441.png,A risk management plan is a set of activities that the project will undertake to manage its risks.,"['plans conducting risk management', 'regulators skilled facilitator help', 'team members key', 'project outside', 'needed including customers sellers', 'resolve disagreements arise', 'deﬁned', 'remain focused', 'sources bias', 'agree', '11131']","['Gatherings of individuals are arranged in groups called MEETINGS.', 'MeetingS: MEETINGS by MARKETING (MASTER BATTLE)', 'MEETINGS: There are meetings between people who meet regularly, and there are also meetings with old friends held in the past.', 'MEETINGS ARE MADE IN MESSAGE.', 'HALLHALLMEETINGS MEETTINGS IN SESSION CIVIL HODES.']",part of,risk management plan
risk management plan,"the risk management plan is a component of the project management plan that describes how risk management activities will be structured and performed. the risk management plan may include some or all of the following elements: risk strategy. describes the general approach to managing risk on this project. methodology. deﬁnes the speciﬁc approaches, tools, and data sources that will be used to perform risk management on the project. roles and responsibilities. deﬁnes the lead, support, and risk management team members for each type of activity described in the risk management plan, and clariﬁes their responsibilities. funding. identiﬁes the funds needed to perform activities related to project risk management. establishes protocols for the application of contingency and management reserves. timing. deﬁnes when and how often the project risk management processes will be performed throughout the project life cycle, and establishes risk management activities for inclusion into the project schedule. risk categories. provide a means for grouping individual project risks. a common way to structure risk categories is with a risk breakdown structure (rbs), which is a hierarchical representation of potential sources of risk (see example in figure 11-4). an rbs helps the project team consider the full range of sources from which individual project risks may arise. this can be useful when identifying risks or when categorizing identiﬁed risks. the organization may have a generic rbs to be used for all projects, or there may be several rbs frameworks for different types of projects, or the project may develop a tailored rbs. where an rbs is not used, an organization may use a custom risk categorization framework, which may take the form of a simple list of categories or a structure based on project objectives. rbs level 00. all sources ofproject risk1. technical risk2. management risk3. commercial risk4. external riskrbs level 1rbs level 21.1 scope definition1.2 requirements definition1.3 estimates, assumptions, and constraints1.4 technical processes1.5 technology1.6 technical interfacesetc.2.1 project management2.2 program/portfolio management2.3 operations management2.4 organization2.5 resourcing2.6 communicationetc.3.1 contractual terms and conditions3.2 internal procurement3.3 suppliers and vendors 3.4 subcontracts3.5 client/customer stability3.6 partnerships and joint venturesetc.4.1 legislation4.2 exchange rates4.3 site/facilities4.4 environmental/weather4.5 competition4.6 regulatoryetc.figure 11-4. extract from sample risk breakdown structure (rbs) stakeholder risk appetite. the risk appetites of key stakeholders on the project are recorded in the risk management plan, as they inform the details of the plan risk management process. in particular, stakeholder risk appetite should be expressed as measurable risk thresholds around each project objective. these thresholds will determine the acceptable level of overall project risk exposure, and they are also used to inform the deﬁnitions of probability and impacts to be used when assessing and prioritizing individual project risks. definitions of risk probability and impacts. deﬁnitions of risk probability and impact levels are speciﬁc to the project context and reﬂect the risk appetite and thresholds of the organization and key stakeholders. the project may generate speciﬁc deﬁnitions of probability and impact levels or it may start with general deﬁnitions provided by the organization. the number of levels reﬂects the degree of detail required for the project risk management process, with more levels used for a more detailed risk approach (typically ﬁve levels), and fewer for a simple process (usually three). table 11-1 provides an example of deﬁnitions of probability and impacts against three project objectives. these scales can be used to evaluate both threats and opportunities by interpreting the impact deﬁnitions as negative for threats (delay, additional cost, and performance shortfall) and positive for opportunities (reduced time or cost, and performance enhancement).table 11-1. example of definitions for probability and impactsscaleprobabilitytimecostquality+/–  impact on project objectivesvery significant impact on overall functionalitysignificant impact on overall functionalitysome impact in key functional areas minor impact on overall functionalityminor impact on secondary functionsno change in functionalityvery highhighmediumlowvery lownil>70%51-70%31-50%11-30%1-10%<1%>6 months3-6 months1-3 months1-4 weeks1 weekno change>$5m$1m-$5m$501k-$1m$100k-$500k<$100kno change  probability and impact matrix. described in section 11.3.2.6. prioritization rules may be speciﬁed by the organization in advance of the project and be included in organizational process assets, or they may be tailored to the speciﬁc project. opportunities and threats are represented in a common probability and impact matrix using positive deﬁnitions of impact for opportunities and negative impact deﬁnitions for threats. descriptive terms (such as very high, high, medium, low, and very low) or numeric values can be used for probability and impact. where numeric values are used, these can be multiplied to give a probability-impact score for each risk, which allows the relative priority of individual risks to be evaluated within each priority level. an example probability and impact matrix is presented in figure 11-5, which also shows a possible numeric risk scoring scheme.figure 11-5. example probability and impact matrix with scoring scheme reporting formats. reporting formats deﬁne how the outcomes of the project risk management process will be documented, analyzed, and communicated. this section of the risk management plan describes the content and format of the risk register and the risk report, as well as any other required outputs from the project risk management processes. tracking. tracking documents how risk activities will be recorded and how risk management processes will be audited.probabilityprobability0.050.040.030.020.01very low0.05very high0.90high0.70medium0.50low0.30very low0.10very high0.90high0.70medium0.50low0.30very low0.100.090.070.050.030.01low0.100.180.140.100.060.02moderate0.200.360.280.200.120.04high0.400.720.560.400.240.08very high0.80threats0.050.040.030.020.01very low0.050.090.070.050.030.01low0.100.180.140.100.060.02moderate0.200.360.280.200.120.04high0.400.720.560.400.240.08very high0.80opportunitiesnegative impactpositive impact","captures/page_12_image_1.png ,
captures/page_13_image_1.png ,
captures/page_14_image_1.png ,
captures/page_15_image_1.png ,
captures/page_15_image_2.png ,
captures/page_15_image_3.png sections/11.3.2.6_page461.png","This chapter describes the approach to risk management on a project. It is described in several parts: ""Risk strategy"" and ""Meanology""; roles and responsibilities; funds and contingency; and timing. Risk categories are defined as hierarchical structures that represent potential sources of risks. A risk breakdown structure, or risk breakdown framework, is used to group individual project","['project risk management process', 'extract sample risk breakdown', 'include following elements risk', 'inform details plan risk', 'format risk register', 'deﬁnitions threats descriptive terms', 'probabilityimpact score risk allows', 'management team members type', 'stakeholders', 'report required outputs project', 'assets tailored speciﬁc', 'thresholds project objective thresholds', 'operations management', 'roles responsibilities', 'start general deﬁnitions provided', 'breakdown structure', 'deﬁnitions provided organization number', '22 programportfolio management', 'plan component', 'reserves', 'funding identiﬁes funds needed', 'requirements definition', 'hierarchical representation potential sources', 'high 080 threats 005', 'change probability impact matrix', 'helps project', 'tools data sources', 'strategy describes general', 'tracking tracking documents risk', 'lead support', 'scope definition', 'activities inclusion', 'categories', 'describes content format', 'process usually table', '36 partnerships joint ventures', 'opportunities interpreting', 'prioritization rules', 'levels reﬂects degree required', 'contractual terms', 'consider range', 'example deﬁnitions probability', 'life cycle', 'arise useful identifying', 'provide means grouping', 'advance', 'communicated section', 'way structure', 'speciﬁed', 'exposure used inform', 'resourcing 26', 'generic rbs', 'appetite thresholds organization', 'significant impact', 'shortfall', 'audited', 'matrix scoring', 'protocols application contingency', 'form simple list', 'frameworks different', 'presented figure', 'stability', 'regulatory figure 114 extract', 'details', 'evaluate', 'numeric values used', 'areas minor', 'environmentalweather 45 competition', 'conditions 32 internal', 'change 5m 1m5m', 'technology 16', 'generate', 'enhancement table', 'scheme figure 115 example', 'start', '100k500k 100k', 'rates 43 sitefacilities 44', 'included', 'delay additional cost performance', 'use custom', 'subcontracts', 'legislation 42', 'scales', 'definition 13', 'estimates assumptions', 'quality', 'using positive', 'nil 70 5170 3150', 'used perform', 'weeks week change', 'clientcustomer', 'secondary functions change functionality', 'common way', 'fewer', '036 028', '36 months', '115 shows', 'commercial', 'functionality high high medium', 'relative', 'moderate', 'expressed measurable']","['Risk management plan for risk management.', 'RISK MANAGEMENT PLAN: A risk management plan that takes into account the risks and uncertainties of a given risk-based business strategy.', 'The risk management plan is a risk-based approach that seeks to manage risks and uncertainties in business.', 'Risk Management PLAN -RISK MANAGEMENT PANEL.', 'A RISK PRACTICE PLAN THAT SHALL BE READING.']",studies,risks
